,carat,depth,table,price,x,y,z,y_val
20979,1.52,60.8,60.0,9193,7.42,7.36,4.49,2
45044,0.53,61.9,55.0,1639,5.19,5.21,3.22,0
16029,0.3,62.5,54.0,608,4.32,4.29,2.69,0
17829,1.07,60.0,56.0,7190,6.64,6.62,3.98,1
19791,1.16,62.3,59.0,8361,6.69,6.72,4.18,2
2866,1.01,63.2,58.0,3275,6.42,6.35,4.04,0
36754,0.33,61.1,56.0,955,4.44,4.46,2.72,0
2917,0.91,64.3,60.0,3286,6.12,6.04,3.91,0
50045,0.59,62.9,56.7,2200,5.37,5.39,3.38,0
15018,1.0,61.3,62.0,6048,6.43,6.32,3.91,1
19642,1.24,60.8,56.0,8257,6.92,6.96,4.22,2
29775,0.3,62.3,55.0,709,4.29,4.28,2.67,0
52021,0.73,58.9,60.0,2446,5.9,5.81,3.45,0
53670,0.84,61.1,57.0,2709,6.09,6.12,3.73,0
53448,0.73,61.4,60.0,2675,5.74,5.76,3.53,0
28878,0.31,60.6,59.0,684,4.39,4.35,2.65,0
7302,1.2,60.2,60.0,4203,6.94,6.81,4.14,1
16145,1.0,60.0,59.0,6451,6.54,6.46,3.9,1
7315,1.02,59.8,59.0,4207,6.5,6.54,3.9,1
23098,2.02,62.1,58.0,11119,8.1,8.04,5.01,3
30820,0.33,63.8,55.0,743,4.38,4.36,2.79,0
11476,1.08,62.9,57.0,5014,6.53,6.54,4.11,1
26694,0.27,62.4,55.0,429,4.12,4.15,2.58,0
53617,0.3,61.0,61.0,552,4.27,4.29,2.61,0
47702,0.58,61.5,58.0,1884,5.35,5.41,3.31,0
19347,1.56,58.5,61.0,8048,7.58,7.63,4.45,2
21354,1.51,62.1,58.0,9498,7.32,7.29,4.54,2
28678,0.24,60.2,57.0,678,4.02,4.07,2.44,0
51074,0.54,61.8,55.0,2333,5.27,5.25,3.25,0
52545,0.76,62.7,57.0,2533,5.81,5.86,3.66,0
34257,0.3,62.3,56.0,857,4.3,4.34,2.69,0
37403,0.38,61.9,53.5,983,4.66,4.69,2.9,0
25368,0.28,61.8,56.0,642,4.22,4.26,2.62,0
5606,0.96,59.2,61.0,3871,6.42,6.36,3.78,1
28235,0.33,62.3,57.0,666,4.38,4.42,2.74,0
25409,2.23,62.4,59.0,14129,8.33,8.36,5.21,4
37043,0.34,61.0,56.0,967,4.51,4.54,2.76,0
1210,0.71,62.7,59.0,2938,5.65,5.67,3.55,0
6693,0.31,61.3,58.0,408,4.37,4.4,2.69,0
44102,0.55,60.9,56.0,1556,5.32,5.28,3.23,0
24970,2.01,61.7,60.0,13464,7.99,8.12,4.97,3
9990,1.2,62.0,59.0,4704,6.77,6.72,4.18,1
4449,0.71,60.0,58.0,3618,5.92,5.84,3.53,1
15278,1.0,62.3,60.0,6132,6.36,6.28,3.94,1
16343,1.1,61.3,54.0,6535,6.69,6.65,4.09,1
46564,0.53,62.4,59.0,1783,5.14,5.18,3.22,0
6360,0.32,63.2,56.0,576,4.38,4.32,2.75,0
20300,1.33,59.3,57.0,8714,7.22,7.18,4.27,2
30363,0.36,60.9,61.0,729,4.61,4.58,2.8,0
17990,1.75,61.5,54.9,7276,7.75,7.78,4.78,2
21550,1.44,62.9,58.0,9653,7.2,7.14,4.51,2
41997,0.43,61.9,55.0,1264,4.87,4.85,3.01,0
20288,1.51,64.1,61.0,8706,7.18,7.14,4.59,2
22486,1.5,59.9,62.0,10517,7.4,7.37,4.42,2
47846,0.53,62.0,55.0,1908,5.2,5.15,3.21,0
48678,0.51,62.6,57.0,2005,5.08,5.14,3.2,0
13305,1.09,62.4,56.0,5496,6.57,6.61,4.11,1
9863,1.03,61.3,61.0,4679,6.46,6.49,3.97,1
26033,0.32,59.2,59.0,645,4.45,4.47,2.64,0
3466,0.85,61.4,56.0,3392,6.06,6.12,3.74,0
50471,0.71,61.7,55.0,2266,5.71,5.74,3.53,0
46853,0.51,57.6,62.0,1812,5.33,5.3,3.06,0
51599,0.7,64.2,60.0,2394,5.58,5.64,3.6,0
10484,1.01,62.2,57.0,4796,6.43,6.36,3.98,1
16314,1.01,63.7,56.0,6529,6.37,6.29,4.03,1
48514,0.58,62.6,54.0,1984,5.34,5.3,3.33,0
13314,1.07,62.1,56.0,5498,6.53,6.58,4.07,1
35491,0.4,60.9,56.0,904,4.78,4.81,2.92,0
40887,0.56,61.7,58.0,1176,5.31,5.29,3.27,0
47194,0.46,62.3,56.0,1838,4.94,4.98,3.09,0
3812,0.9,61.3,60.0,3468,6.18,6.22,3.8,0
48840,0.55,61.8,54.0,2030,5.29,5.26,3.26,0
8099,0.91,63.1,58.0,4345,6.13,6.19,3.89,1
49767,0.5,62.3,58.0,2160,5.11,5.06,3.17,0
50765,0.74,62.4,58.0,2300,5.75,5.7,3.57,0
32801,0.34,62.9,56.0,805,4.44,4.5,2.81,0
42859,0.54,59.5,61.0,1356,5.31,5.28,3.15,0
30010,0.32,62.0,55.0,717,4.38,4.42,2.73,0
14941,1.2,58.9,60.0,6019,6.94,7.02,4.11,1
45763,0.5,61.3,60.0,1706,5.08,5.17,3.14,0
32820,0.34,62.5,57.0,805,4.4,4.47,2.77,0
14826,1.21,61.2,57.0,5973,6.86,6.93,4.22,1
30286,0.34,63.0,58.0,447,4.45,4.47,2.81,0
42751,0.51,62.0,56.0,1343,5.11,5.18,3.19,0
46370,0.57,59.5,60.0,1760,5.44,5.35,3.21,0
38088,0.3,61.6,57.0,1013,4.32,4.29,2.65,0
48560,0.64,62.1,57.0,1991,5.52,5.49,3.42,0
39907,0.5,60.6,59.0,1104,5.07,5.12,3.09,0
31280,0.32,62.6,58.0,449,4.37,4.42,2.75,0
37323,0.3,61.6,57.0,979,4.33,4.3,2.66,0
38059,0.38,62.5,53.0,1013,4.62,4.66,2.9,0
5235,1.16,62.1,59.0,3787,6.74,6.63,4.15,1
29653,0.35,61.5,58.0,706,4.5,4.54,2.78,0
13037,0.36,61.1,59.0,600,4.55,4.59,2.79,0
8663,1.04,61.7,56.0,4455,6.57,6.52,4.04,1
37353,0.4,62.5,57.0,982,4.69,4.72,2.94,0
24292,2.01,61.8,61.0,12541,8.06,7.97,4.95,3
19927,1.56,61.1,59.0,8476,7.52,7.49,4.58,2
18150,1.01,62.1,56.0,7355,6.41,6.45,3.99,2
33131,0.31,61.8,56.0,816,4.36,4.38,2.7,0
40960,0.42,61.2,56.0,1179,4.85,4.86,2.97,0
52105,0.47,62.1,55.0,2460,4.98,5.01,3.1,0
24197,2.1,59.1,58.0,12381,8.4,8.46,4.98,3
42655,0.38,62.2,55.0,1333,4.64,4.66,2.89,0
35119,0.42,61.6,56.0,886,4.83,4.81,2.97,0
10467,1.21,62.1,59.0,4791,6.8,6.86,4.24,1
17308,1.05,62.0,56.0,6936,6.47,6.53,4.03,1
1482,0.84,62.0,56.0,2986,6.02,6.05,3.74,0
41005,0.55,61.4,55.0,1183,5.27,5.29,3.24,0
48159,0.71,61.1,61.0,1942,5.71,5.72,3.49,0
19519,1.52,60.9,57.0,8151,7.44,7.5,4.55,2
30985,0.37,61.5,58.0,746,4.57,4.6,2.82,0
24803,1.63,59.8,56.0,13187,7.57,7.64,4.55,3
31931,0.3,60.7,56.0,776,4.34,4.32,2.63,0
18016,1.36,61.7,59.0,7288,7.09,7.2,4.41,2
1270,1.0,65.8,58.0,2948,6.28,6.16,4.09,0
26926,2.01,58.5,58.0,16956,8.3,8.25,4.84,4
38126,0.3,62.3,55.0,1013,4.31,4.29,2.68,0
35148,0.43,61.3,56.0,890,4.85,4.88,2.98,0
12491,1.08,61.8,56.0,5256,6.55,6.58,4.06,1
29745,0.32,62.0,55.0,708,4.42,4.45,2.75,0
47462,0.55,61.0,55.0,1857,5.29,5.33,3.24,0
32232,0.31,61.6,57.0,789,4.34,4.36,2.68,0
10341,1.03,63.9,59.0,4769,6.33,6.39,4.07,1
19236,1.17,60.0,64.0,7972,6.82,6.77,4.08,2
24815,2.0,61.0,51.6,13203,8.14,8.18,4.97,3
52402,0.71,63.1,58.0,2511,5.65,5.69,3.58,0
27820,0.34,61.5,56.0,650,4.52,4.45,2.76,0
34570,0.31,62.1,56.0,871,4.31,4.34,2.69,0
212,0.71,62.1,54.0,2780,5.68,5.72,3.54,0
37351,0.4,62.9,58.0,982,4.67,4.71,2.95,0
17681,1.44,58.2,61.0,7128,7.45,7.51,4.35,1
28260,0.24,61.5,57.0,357,3.99,4.07,2.48,0
20043,0.4,62.6,55.0,625,4.73,4.76,2.97,0
53632,0.3,61.1,59.0,552,4.31,4.33,2.64,0
22062,1.82,62.2,56.0,10090,7.83,7.96,4.91,2
14016,1.01,63.7,56.0,5701,6.4,6.32,4.05,1
50517,0.7,62.1,59.0,2273,5.65,5.63,3.5,0
20009,1.55,60.4,57.0,8548,7.52,7.54,4.55,2
43399,0.59,61.7,60.0,1412,5.37,5.39,3.32,0
31913,0.3,63.3,56.0,776,4.3,4.26,2.71,0
45276,0.54,60.3,55.0,1662,5.26,5.32,3.19,0
39638,0.49,59.4,60.0,1084,5.17,5.14,3.06,0
22538,1.0,61.3,53.0,10577,6.44,6.48,3.96,2
40694,0.46,56.5,61.0,1157,5.11,5.05,2.87,0
21077,1.7,63.2,57.0,9253,7.63,7.55,4.8,2
38677,0.3,61.6,56.0,1041,4.32,4.35,2.67,0
28131,0.29,62.9,58.0,664,4.2,4.29,2.67,0
20743,1.53,62.4,57.0,8981,7.33,7.37,4.59,2
27320,2.01,62.7,59.0,17849,8.08,8.03,5.05,4
23746,1.5,60.0,58.0,11795,7.5,7.47,4.49,3
37698,0.48,56.4,59.0,994,5.28,5.26,2.97,0
23141,1.51,61.8,59.0,11161,7.27,7.32,4.51,3
32615,0.34,61.6,56.0,457,4.47,4.51,2.76,0
44548,0.54,61.2,56.0,1605,5.25,5.26,3.22,0
7034,0.9,63.5,58.0,4161,6.06,6.09,3.86,1
44559,0.52,61.8,56.0,1605,5.18,5.15,3.19,0
567,0.9,64.3,63.0,2832,6.05,6.01,3.88,0
40723,0.41,62.3,54.0,1161,4.75,4.79,2.97,0
30710,0.33,61.3,55.0,738,4.46,4.5,2.75,0
14842,1.24,62.4,57.0,5976,6.89,6.87,4.29,1
33887,0.3,61.8,56.0,844,4.32,4.29,2.66,0
12477,1.01,59.9,61.0,5252,6.46,6.5,3.88,1
11341,1.01,60.5,64.0,4989,6.48,6.45,3.91,1
19002,1.51,62.3,58.0,7823,7.29,7.25,4.53,2
45423,0.55,62.3,56.0,1668,5.26,5.23,3.27,0
15782,1.0,64.1,54.0,6315,6.26,6.31,4.03,1
11128,1.5,65.7,58.0,4939,7.07,7.02,4.63,1
45372,0.5,64.1,56.0,1666,5.02,5.06,3.23,0
24753,2.03,63.1,59.0,13109,8.12,7.99,5.08,3
5455,1.04,62.1,58.0,3832,6.5,6.52,4.04,1
12401,1.12,61.2,60.0,5233,6.63,6.67,4.07,1
29071,0.34,59.3,59.0,687,4.55,4.59,2.71,0
24924,2.13,62.5,60.0,13370,8.18,8.13,5.1,3
32520,0.35,59.9,59.0,798,4.57,4.61,2.75,0
42451,0.5,63.8,55.0,1316,5.04,5.09,3.23,0
4985,1.19,63.4,56.0,3739,6.69,6.56,4.2,1
44264,0.52,61.4,54.0,1576,5.2,5.23,3.2,0
22176,1.63,59.8,60.0,10216,7.64,7.68,4.58,2
5274,0.73,61.4,55.0,3797,5.8,5.83,3.57,1
53566,0.7,62.7,60.0,2695,5.64,5.59,3.52,0
52306,0.32,60.8,62.0,548,4.4,4.45,2.69,0
5410,0.9,62.6,54.3,3820,6.14,6.17,3.86,1
3433,0.72,61.5,56.0,3385,5.71,5.77,3.53,0
50415,0.67,63.8,57.0,2258,5.53,5.48,3.51,0
29461,0.32,61.9,56.0,702,4.36,4.4,2.71,0
27970,0.3,62.0,59.0,658,4.27,4.31,2.66,0
21600,1.52,61.8,57.0,9700,7.43,7.32,4.56,2
24411,2.0,61.8,57.0,12654,8.05,8.01,4.96,3
1560,0.78,60.6,57.0,3004,5.95,5.97,3.61,0
21604,1.07,61.4,55.0,9703,6.59,6.66,4.06,2
25826,1.51,62.2,59.0,14844,7.4,7.36,4.59,4
24918,1.91,60.9,53.0,13367,8.11,8.07,4.93,3
48475,0.7,63.3,58.0,1978,5.57,5.61,3.54,0
13680,1.19,61.9,56.0,5598,6.84,6.8,4.22,1
53826,0.7,62.8,61.0,2737,5.66,5.62,3.54,0
47683,0.51,62.0,62.0,1882,5.09,5.04,3.14,0
22517,1.21,61.8,53.0,10556,6.86,6.9,4.25,2
20719,0.31,62.6,58.0,625,4.28,4.31,2.69,0
10301,1.01,62.9,60.0,4760,6.35,6.46,4.03,1
30254,0.3,60.7,56.0,725,4.32,4.35,2.63,0
27493,2.01,62.8,54.0,18186,8.03,8.08,5.05,4
34625,0.31,62.9,57.0,872,4.35,4.3,2.72,0
23375,0.33,63.3,53.0,631,4.42,4.39,2.79,0
44513,0.52,61.4,58.0,1600,5.16,5.19,3.18,0
53815,0.71,59.0,59.0,2735,5.88,5.78,3.44,0
40429,0.4,61.9,56.0,1136,4.74,4.79,2.95,0
32535,0.42,62.0,54.0,799,4.85,4.82,3.0,0
10368,1.06,61.9,58.0,4774,6.53,6.58,4.06,1
38387,0.42,62.4,55.0,1024,4.8,4.79,2.99,0
42440,0.55,61.6,55.0,1314,5.29,5.32,3.27,0
2947,0.76,60.2,56.0,3293,5.95,5.92,3.57,0
20870,1.63,62.0,54.0,9090,7.6,7.67,4.73,2
53761,0.76,61.6,55.0,2725,5.88,5.9,3.63,0
10235,0.91,62.3,60.0,4746,6.15,6.21,3.85,1
10572,1.02,62.5,59.0,4818,6.38,6.43,4.0,1
31598,0.2,63.4,59.0,367,3.74,3.71,2.36,0
51718,0.7,62.2,59.0,2401,5.69,5.73,3.55,0
10707,1.11,61.4,60.0,4849,6.61,6.65,4.07,1
25418,1.67,62.6,54.0,14154,7.57,7.63,4.76,4
33099,0.29,61.9,57.0,815,4.25,4.29,2.64,0
10217,1.15,61.6,60.0,4743,6.72,6.75,4.15,1
11706,0.34,61.0,58.0,596,4.46,4.49,2.73,0
39415,0.41,60.8,57.0,1076,4.8,4.77,2.91,0
22651,1.72,62.4,59.0,10697,7.63,7.67,4.77,2
21292,1.21,60.1,58.0,9448,6.98,6.89,4.17,2
2780,0.74,62.1,55.0,3254,5.82,5.84,3.62,0
17195,1.2,62.5,59.0,6870,6.76,6.72,4.21,1
43403,0.46,61.5,55.0,1412,4.97,5.01,3.07,0
14146,1.22,62.3,60.0,5739,6.84,6.8,4.25,1
36760,0.56,62.0,63.0,956,5.26,5.21,3.27,0
7996,1.01,62.0,58.0,4327,6.41,6.37,3.96,1
33148,0.31,62.1,59.0,816,4.32,4.35,2.69,0
38908,0.33,61.5,57.0,1052,4.47,4.44,2.74,0
15727,1.01,63.5,57.0,6291,6.36,6.39,4.05,1
46660,0.51,61.9,55.0,1787,5.11,5.13,3.17,0
39961,0.63,63.3,59.0,1105,5.51,5.31,3.45,0
50345,0.7,60.5,58.0,2245,5.73,5.77,3.48,0
5630,0.9,63.0,61.0,3878,6.05,6.14,3.84,1
4761,0.9,64.8,59.0,3689,6.1,6.03,3.93,1
51568,0.7,62.3,54.0,2390,5.67,5.72,3.55,0
45942,0.5,62.4,56.0,1723,5.06,5.1,3.17,0
22,0.23,61.0,57.0,353,3.94,3.96,2.41,0
44516,0.52,60.9,57.0,1600,5.17,5.21,3.16,0
53897,1.02,64.3,63.0,2751,6.28,6.23,4.02,0
41286,0.42,61.7,57.0,1210,4.82,4.8,2.97,0
3175,0.81,61.3,57.0,3338,6.08,6.03,3.71,0
24743,1.91,59.6,60.0,13092,8.02,7.98,4.77,3
34251,0.46,66.8,55.0,855,4.82,4.77,3.2,0
48526,0.51,61.6,55.0,1985,5.15,5.2,3.19,0
22247,1.26,62.7,58.0,10302,6.95,6.86,4.33,2
45135,0.5,62.4,55.0,1653,5.09,5.1,3.18,0
39725,0.4,62.3,54.0,1090,4.74,4.76,2.96,0
2338,0.74,62.3,57.0,3170,5.79,5.77,3.6,0
33037,0.32,61.4,57.0,814,4.42,4.44,2.72,0
9667,0.7,63.2,57.0,4644,5.62,5.67,3.57,1
8798,1.21,60.9,59.0,4472,6.87,6.82,4.17,1
47506,0.74,64.2,59.0,1865,5.69,5.62,3.63,0
6108,1.0,62.4,56.0,3977,6.35,6.31,3.95,1
5744,0.9,60.2,56.0,3894,6.24,6.29,3.77,1
19500,1.01,62.1,54.0,8133,6.42,6.44,3.99,2
17563,1.2,62.5,60.0,7072,6.72,6.78,4.22,1
3836,1.0,66.1,59.0,3472,6.18,6.13,4.07,0
41017,0.4,62.2,56.0,1186,4.71,4.74,2.94,0
37329,0.45,66.9,60.0,980,4.78,4.71,3.18,0
2398,0.26,61.3,58.0,562,4.13,4.16,2.54,0
29782,0.3,61.4,56.0,709,4.35,4.32,2.66,0
19654,1.19,62.0,57.0,8265,6.76,6.78,4.2,2
44582,0.53,61.6,57.0,1607,5.21,5.24,3.22,0
37212,0.34,62.2,53.0,974,4.49,4.52,2.8,0
40931,0.3,61.7,58.0,499,4.29,4.3,2.65,0
30527,0.38,58.9,61.0,733,4.75,4.79,2.81,0
30727,0.33,61.1,56.0,739,4.46,4.48,2.73,0
20995,1.02,61.9,57.0,9212,6.53,6.42,4.01,2
23894,1.57,60.3,57.0,11998,7.55,7.6,4.57,3
3150,0.92,62.4,56.0,3332,6.23,6.19,3.88,0
49145,0.59,60.8,57.0,2068,5.37,5.42,3.28,0
11462,1.03,61.3,60.0,5010,6.51,6.53,4.0,1
5471,1.01,59.2,58.0,3837,6.5,6.47,0.0,1
37634,0.4,61.4,56.0,990,4.83,4.72,2.93,0
10516,0.91,62.0,57.0,4801,6.22,6.24,3.86,1
20890,1.24,62.9,56.0,9111,6.84,6.79,4.29,2
46598,0.54,62.3,56.0,1786,5.2,5.17,3.23,0
12287,1.23,62.9,58.0,5217,6.75,6.83,4.27,1
39112,0.41,60.8,59.0,1061,4.8,4.78,2.91,0
42757,0.46,58.9,59.4,1345,5.05,5.1,2.99,0
43086,0.55,63.2,58.0,1381,5.21,5.23,3.3,0
35931,0.43,61.1,58.0,919,4.9,4.86,2.98,0
53299,0.3,61.4,56.0,552,4.32,4.35,2.66,0
30835,0.33,59.2,58.0,743,4.55,4.5,2.68,0
15144,1.23,62.1,55.9,6088,6.82,6.85,4.24,1
34097,0.36,61.0,59.0,852,4.57,4.61,2.8,0
3170,0.99,60.7,66.0,3337,6.42,6.34,3.87,0
47559,0.52,59.1,58.0,1875,5.31,5.38,3.16,0
51341,0.74,62.4,65.0,2362,5.78,5.71,3.59,0
21575,1.07,59.9,55.0,9681,6.69,6.71,4.01,2
47977,0.38,62.0,55.0,532,4.66,4.69,2.9,0
14690,1.05,62.5,55.0,5927,6.59,6.54,4.1,1
28629,0.26,61.3,56.0,434,4.09,4.13,2.52,0
33718,0.33,62.0,55.0,838,4.46,4.48,2.77,0
35776,0.4,62.4,56.0,912,4.71,4.74,2.95,0
27174,1.76,60.3,57.0,17442,7.9,7.83,4.74,4
2113,0.87,61.7,57.0,3118,6.14,6.09,3.77,0
18360,0.37,61.6,59.0,616,4.62,4.67,2.86,0
3813,0.55,60.8,56.0,3468,5.29,5.32,3.23,0
51669,0.7,62.1,57.0,2398,5.65,5.69,3.52,0
38117,0.3,61.8,55.0,1013,4.31,4.3,2.66,0
29054,0.42,60.6,62.0,687,4.82,4.85,2.93,0
45870,0.51,62.7,59.0,1716,5.05,5.09,3.18,0
18496,1.51,61.2,59.0,7534,7.4,7.38,4.52,2
21421,1.55,60.7,55.0,9530,7.54,7.51,4.57,2
22313,1.21,60.9,60.0,10353,6.91,6.86,4.19,2
28348,0.33,61.1,56.0,666,4.46,4.48,2.73,0
12520,0.91,62.6,55.0,5261,6.2,6.23,3.89,1
51973,0.24,60.9,55.0,547,4.07,4.08,2.48,0
13419,1.23,62.7,58.0,5510,6.82,6.79,4.27,1
18197,1.57,62.8,57.0,7385,7.39,7.36,4.63,2
22353,0.31,60.0,60.0,628,4.43,4.4,2.65,0
144,0.71,61.6,55.0,2767,5.74,5.76,3.54,0
14376,0.3,60.7,58.0,605,4.32,4.35,2.63,0
48547,0.72,63.0,58.0,1989,5.67,5.7,3.58,0
660,0.79,61.5,56.0,2846,5.96,5.91,3.65,0
49024,0.57,61.9,56.0,2052,5.39,5.3,3.31,0
44005,0.3,63.4,55.0,394,4.25,4.3,2.71,0
29638,0.3,61.6,61.0,442,4.23,4.28,2.62,0
13702,1.04,61.4,65.0,5601,6.53,6.47,3.99,1
18611,1.36,62.0,59.0,7592,7.1,7.06,4.39,2
38241,0.41,61.2,57.0,1018,4.77,4.81,2.93,0
10,0.3,64.0,55.0,339,4.25,4.28,2.73,0
15232,1.0,59.2,60.0,6115,6.6,6.54,3.89,1
1021,0.75,62.8,60.0,2903,5.78,5.74,3.62,0
13119,1.01,63.1,53.0,5430,6.36,6.42,4.03,1
48307,0.33,62.1,53.9,534,4.43,4.45,2.76,0
4623,1.01,59.6,60.0,3665,6.5,6.55,3.89,1
8579,1.01,60.7,62.0,4436,6.43,6.49,3.92,1
116,0.8,61.7,58.0,2762,5.98,5.94,3.68,0
16024,0.3,59.1,59.0,608,4.38,4.35,2.58,0
11841,1.01,62.0,54.0,5099,6.43,6.47,4.0,1
14490,1.16,60.0,60.0,5852,6.87,6.84,4.11,1
28775,0.32,61.6,54.9,681,4.4,4.43,2.72,0
51239,0.7,63.8,59.0,2353,5.51,5.55,3.53,0
3937,0.9,62.4,56.0,3500,6.14,6.19,3.85,0
33353,0.41,59.8,57.0,827,4.81,4.85,2.89,0
14638,1.13,61.9,60.0,5911,6.63,6.65,4.11,1
3013,0.76,61.8,57.0,3306,5.85,5.9,3.63,0
15003,1.09,61.1,55.0,6043,6.7,6.66,4.08,1
15855,1.51,62.3,59.0,6342,7.36,7.3,4.57,1
39174,0.35,62.0,58.0,1063,4.56,4.54,2.82,0
425,0.51,62.0,57.0,2812,5.15,5.11,3.18,0
4906,1.12,62.4,59.0,3723,6.6,6.54,4.1,1
36177,0.52,62.0,54.0,930,5.15,5.18,3.2,0
6781,1.0,57.6,62.0,4113,6.62,6.55,3.79,1
6595,1.0,60.7,59.0,4080,6.4,6.46,3.9,1
50538,0.77,61.2,57.0,2275,5.94,5.98,3.65,0
1622,0.71,61.8,56.0,3014,5.7,5.75,3.54,0
3589,0.91,64.0,57.0,3423,6.08,6.17,3.92,0
44958,0.58,61.6,55.0,1636,5.33,5.38,3.3,0
42578,0.43,61.2,55.0,1329,4.87,4.9,2.99,0
47487,0.72,61.8,54.0,1864,5.76,5.8,3.57,0
25822,1.32,62.4,58.0,14842,6.97,7.01,4.36,4
49846,0.53,60.5,58.0,2170,5.27,5.3,3.2,0
50596,0.71,62.3,56.0,2283,5.69,5.65,3.53,0
46256,0.54,60.8,57.0,1754,5.24,5.29,3.2,0
52181,0.72,62.0,57.0,2476,5.72,5.66,3.53,0
7297,1.1,60.5,59.0,4202,6.65,6.71,4.04,1
27202,2.32,62.0,57.0,17516,8.45,8.49,5.25,4
45298,0.51,63.1,57.0,1662,5.12,5.08,3.22,0
11327,1.08,61.7,57.0,4989,6.55,6.6,4.06,1
43950,0.31,62.7,58.0,516,4.31,4.33,2.71,0
52291,0.25,62.1,57.0,548,4.02,4.07,2.51,0
29310,0.31,59.7,58.0,698,4.43,4.41,2.64,0
26412,1.7,63.1,57.0,15937,7.53,7.62,4.78,4
47013,0.56,61.8,56.0,1819,5.28,5.31,3.27,0
14176,1.17,62.5,57.0,5751,6.79,6.75,4.23,1
46369,0.57,60.4,60.0,1760,5.36,5.31,3.22,0
12028,1.18,62.1,56.0,5154,6.79,6.77,4.21,1
49016,0.5,63.0,57.0,2052,5.01,5.05,3.17,0
34274,0.28,61.9,55.0,467,4.2,4.23,2.61,0
25603,2.08,58.8,60.0,14462,8.39,8.35,4.92,4
20236,1.01,57.7,62.0,8668,6.57,6.63,3.81,2
6251,1.05,61.7,59.0,4010,6.52,6.58,4.04,1
3973,0.9,63.8,56.0,3510,6.09,6.17,3.91,0
3372,0.3,62.0,58.0,407,4.25,4.33,2.66,0
45261,0.54,61.5,56.0,1662,5.23,5.25,3.22,0
15521,1.02,62.7,59.0,6220,6.41,6.44,4.03,1
20940,1.51,62.0,57.0,9150,7.3,7.38,4.55,2
132,0.71,61.9,59.0,2764,5.69,5.72,3.53,0
26462,2.37,62.3,57.0,16021,8.55,8.5,5.31,4
20257,1.2,62.6,54.3,8687,6.76,6.8,4.25,2
41085,0.41,61.9,55.0,1192,4.79,4.74,2.95,0
8739,1.24,63.3,57.0,4462,6.85,6.79,4.32,1
45661,0.5,61.0,58.0,1694,5.08,5.15,3.12,0
39347,0.46,62.2,56.0,1073,4.96,4.9,3.07,0
4135,0.81,62.6,55.0,3544,5.92,5.97,3.72,1
830,0.71,60.4,57.0,2867,5.78,5.81,3.5,0
18815,1.52,56.3,61.0,7702,7.7,7.62,4.31,2
48137,0.7,60.9,58.0,1940,5.7,5.77,3.49,0
11468,1.13,62.7,57.0,5012,6.65,6.62,4.16,1
14582,1.13,62.4,58.0,5885,6.66,6.61,4.14,1
49588,0.7,59.8,61.0,2135,5.76,5.74,3.44,0
8484,1.01,65.3,58.0,4417,6.14,6.2,4.03,1
2535,0.9,64.7,54.0,3205,6.1,6.04,3.93,0
51527,0.7,62.9,56.0,2386,5.57,5.65,3.53,0
38886,0.4,61.7,59.0,1050,4.75,4.72,2.92,0
49260,0.71,60.7,57.0,2088,5.78,5.81,3.52,0
46746,0.72,60.6,57.0,1799,5.88,5.73,3.52,0
32143,0.32,62.1,54.0,786,4.41,4.44,2.75,0
31128,0.31,58.5,59.0,755,4.45,4.5,2.62,0
4436,1.09,62.5,55.0,3615,6.64,6.58,4.13,1
18433,1.3,59.9,59.0,7498,7.18,7.12,4.28,2
6676,0.9,62.8,59.0,4099,6.1,6.16,3.85,1
37103,0.38,62.1,54.0,969,4.67,4.64,2.9,0
40015,0.51,61.5,59.0,1108,5.07,5.14,3.14,0
11041,0.33,60.2,57.0,594,4.5,4.47,2.7,0
17448,1.01,62.1,59.0,6998,6.28,6.35,3.92,1
28242,0.33,61.8,59.0,666,4.39,4.45,2.73,0
34758,0.41,61.4,60.0,876,4.78,4.73,2.92,0
30832,0.33,63.7,56.0,743,4.4,4.36,2.79,0
651,0.73,57.7,61.0,2844,5.92,5.96,3.43,0
32777,0.34,62.0,59.0,803,4.48,4.42,2.76,0
30699,0.4,59.1,61.0,737,4.81,4.84,2.85,0
21526,1.2,61.9,58.0,9625,6.76,6.8,4.2,2
30735,0.35,57.7,60.0,739,4.69,4.64,2.69,0
52902,0.72,62.5,55.0,2586,5.74,5.78,3.6,0
31420,0.34,61.1,55.0,764,4.53,4.57,2.78,0
50194,0.91,57.7,63.0,2225,6.3,6.35,3.65,0
4387,0.31,60.0,61.0,571,4.41,4.43,2.65,0
30813,0.38,61.6,57.0,743,4.62,4.66,2.86,0
7004,1.0,62.4,61.0,4155,6.34,6.32,3.95,1
41628,0.24,61.8,54.0,504,3.99,4.03,2.47,0
2749,0.76,61.0,56.0,3249,5.85,5.91,3.59,0
6242,1.01,61.8,59.0,4008,6.41,6.31,3.93,1
27214,1.57,60.5,57.0,17548,7.53,7.57,4.57,4
15413,1.04,61.4,57.0,6173,6.52,6.44,3.98,1
15285,1.09,62.7,56.0,6133,6.55,6.59,4.12,1
42147,0.52,61.4,57.0,1282,5.17,5.19,3.18,0
20078,1.5,59.4,60.0,8555,7.54,7.5,4.47,2
9974,1.16,62.2,59.0,4702,6.74,6.69,4.18,1
18500,1.5,62.3,60.0,7535,7.27,7.17,4.5,2
19809,1.0,60.2,62.0,8374,6.42,6.46,3.88,2
