,carat,depth,table,price,x,y,z,y_train
52886,0.72,60.7,59.0,2583,5.84,5.8,3.53,0
26758,1.57,62.3,57.0,16570,7.39,7.44,4.62,4
38614,0.3,57.9,61.0,489,4.39,4.49,2.57,0
2832,0.78,62.4,55.0,3267,5.85,5.89,3.66,0
37792,0.38,62.1,56.0,1000,4.62,4.65,2.88,0
16173,1.0,62.2,56.0,6465,6.41,6.35,3.97,1
3351,0.82,62.1,54.0,3380,5.98,6.03,3.73,0
25143,1.83,61.9,57.0,13711,7.91,7.85,4.88,3
39820,0.3,61.9,58.0,1097,4.3,4.26,2.65,0
38167,0.34,60.1,57.0,1014,4.54,4.58,2.74,0
16841,1.0,62.8,60.0,6720,6.36,6.32,3.98,1
8174,0.85,61.6,57.0,4363,6.07,6.1,3.75,1
47899,0.54,61.7,57.0,1914,5.23,5.26,3.23,0
44070,0.55,60.7,57.0,1551,5.27,5.3,3.21,0
40038,0.52,63.1,57.0,1111,5.09,5.14,3.23,0
30788,0.3,61.2,56.0,742,4.34,4.38,2.67,0
6429,1.01,66.1,55.0,4044,6.28,6.24,4.14,1
2475,0.76,60.1,59.0,3192,6.01,5.97,3.6,0
31485,0.34,61.3,58.0,765,4.53,4.51,2.77,0
45329,0.32,62.1,56.0,524,4.36,4.4,2.72,0
45251,0.54,63.3,55.0,1660,5.2,5.26,3.31,0
31577,0.35,61.7,55.0,767,4.54,4.57,2.81,0
46246,0.53,60.0,58.0,1753,5.29,5.24,3.16,0
16886,1.26,59.6,57.0,6738,7.08,7.04,4.21,1
53709,0.75,60.2,57.0,2719,5.89,5.94,3.56,0
7066,0.33,61.8,56.0,579,4.41,4.46,2.74,0
30885,0.33,62.5,55.0,743,4.45,4.42,2.77,0
29917,0.33,61.5,55.0,713,4.47,4.51,2.76,0
21899,1.2,61.8,55.0,9968,6.79,6.83,4.21,2
36208,0.36,62.3,57.0,932,4.57,4.52,2.83,0
48099,0.62,61.6,55.0,1934,5.49,5.51,3.39,0
28087,0.3,63.4,55.0,662,4.26,4.22,2.69,0
33381,0.41,61.4,59.0,827,4.75,4.79,2.93,0
24040,0.38,59.2,61.0,633,4.67,4.72,2.78,0
21516,1.12,61.2,58.0,9612,6.7,6.67,4.09,2
4536,1.03,63.1,57.0,3640,6.41,6.43,4.05,1
2412,0.74,61.8,58.0,3180,5.79,5.82,3.59,0
10214,1.08,60.2,58.0,4742,6.68,6.61,4.0,1
48384,0.72,63.0,57.0,1966,5.69,5.74,3.6,0
28634,0.33,63.0,57.0,434,4.37,4.39,2.76,0
33992,0.42,62.4,54.0,847,4.78,4.83,3.0,0
28719,0.31,61.6,59.0,680,4.32,4.35,2.67,0
404,0.33,61.4,56.0,554,4.85,4.79,2.95,0
7208,0.9,62.2,55.0,4191,6.19,6.22,3.86,1
11173,0.7,61.0,56.0,4951,5.72,5.75,3.5,1
33287,0.31,62.8,55.0,462,4.32,4.38,2.73,0
35521,0.43,61.0,57.0,905,4.84,4.87,2.96,0
53916,0.74,63.1,59.0,2753,5.71,5.74,3.61,0
37897,0.41,61.9,55.0,1007,4.76,4.8,2.96,0
21049,0.31,62.2,55.0,625,4.35,4.36,2.71,0
10478,1.01,63.5,53.0,4794,6.32,6.4,4.04,1
50574,0.73,62.3,56.0,2278,5.78,5.72,3.58,0
37420,0.33,61.2,56.0,984,4.45,4.51,2.74,0
20652,1.26,61.8,56.0,8941,6.9,6.93,4.28,2
49875,0.7,62.0,61.0,2176,6.65,5.69,3.46,0
33663,0.36,61.8,55.0,835,4.58,4.61,2.84,0
33174,0.41,59.5,62.0,818,4.84,4.8,2.87,0
17475,1.0,56.5,63.0,7016,6.65,6.62,3.75,1
11990,0.91,61.1,58.0,5145,6.2,6.28,3.81,1
9810,1.21,61.6,61.0,4669,6.86,6.8,4.21,1
40139,0.7,64.6,59.0,1115,5.64,5.48,3.6,0
17783,1.0,60.3,62.0,7163,6.41,6.45,3.88,1
9943,1.01,62.4,57.0,4693,6.36,6.43,3.99,1
9245,1.01,63.0,57.0,4559,6.39,6.34,4.01,1
17595,1.4,61.2,56.0,7084,7.18,7.23,4.41,1
22270,1.27,61.5,58.0,10321,6.9,6.96,4.26,2
27068,1.75,59.6,60.0,17191,7.9,7.76,4.67,4
20913,1.34,60.7,59.0,9127,7.04,7.07,4.28,2
37158,0.32,61.5,56.0,972,4.44,4.41,2.72,0
29913,0.3,61.9,58.0,712,4.28,4.32,2.66,0
18890,1.3,61.9,56.0,7747,6.97,7.05,4.34,2
32905,0.33,62.2,56.0,810,4.43,4.45,2.76,0
11728,0.34,61.9,55.0,596,4.49,4.53,2.79,0
31759,0.4,61.8,55.0,772,4.74,4.78,2.94,0
19145,1.52,62.0,58.0,7906,7.37,7.34,4.56,2
49114,0.62,61.4,59.0,2065,5.5,5.47,3.37,0
49740,0.59,62.3,56.0,2155,5.34,5.39,3.34,0
15387,0.29,61.5,57.0,607,4.24,4.27,2.62,0
36918,0.41,60.5,57.0,961,4.85,4.81,2.92,0
18786,1.02,63.6,60.0,7682,6.25,6.33,4.0,2
26819,2.48,61.0,60.0,16715,8.68,8.61,5.27,4
1221,0.81,61.8,56.0,2939,6.02,5.99,3.71,0
3104,0.83,61.9,58.0,3322,5.97,6.01,3.71,0
21587,1.65,60.5,61.0,9693,7.7,7.65,4.64,2
15318,1.22,60.6,58.0,6149,6.93,6.89,4.19,1
3796,0.73,61.6,56.0,3464,5.78,5.82,3.57,0
34462,0.31,61.4,55.0,865,4.35,4.38,2.68,0
35401,0.35,62.0,55.0,900,4.54,4.58,2.82,0
42868,0.43,61.0,56.0,1358,4.87,4.9,2.98,0
16012,1.01,63.4,55.0,6406,6.35,6.4,4.04,1
1782,0.66,61.6,57.0,3049,5.64,5.57,3.45,0
38384,0.42,62.0,55.0,1024,4.82,4.8,2.98,0
7838,0.96,63.0,53.0,4301,6.24,6.21,3.92,1
46218,0.51,61.7,54.0,1752,5.12,5.15,3.17,0
35524,0.43,59.8,58.0,905,4.89,4.94,2.94,0
5418,1.05,63.0,57.0,3822,6.47,6.42,4.06,1
41583,0.32,60.7,61.0,388,4.42,4.47,2.7,0
9854,0.9,61.9,57.0,4678,6.17,6.23,3.84,1
12119,0.91,61.8,58.0,5167,6.24,6.16,3.83,1
19975,1.23,61.3,57.0,8523,6.86,6.93,4.23,2
48265,0.54,61.4,53.0,1955,5.28,5.3,3.25,0
46450,0.71,61.7,56.0,1774,5.73,5.71,3.53,0
5822,0.66,61.3,57.0,3915,5.59,5.63,3.44,1
12310,1.04,61.4,59.0,5220,6.46,6.5,3.98,1
50274,0.7,61.9,58.0,2239,5.63,5.67,3.5,0
47993,0.32,62.2,55.0,533,4.4,4.44,2.75,0
34294,0.39,62.5,54.0,857,4.67,4.7,2.93,0
29187,0.3,61.9,58.0,694,4.27,4.29,2.65,0
6902,0.82,61.6,57.0,4135,6.02,6.06,3.72,1
34506,0.4,60.4,58.0,868,4.75,4.79,2.88,0
5408,1.0,59.8,56.0,3819,6.5,6.48,3.88,1
1794,0.7,60.2,61.0,3052,5.66,5.74,3.43,0
7273,1.04,62.9,58.0,4200,6.43,6.47,4.06,1
4157,0.96,60.1,64.0,3548,6.43,6.35,3.84,1
3631,0.71,61.7,57.0,3431,5.7,5.75,3.53,0
30070,0.32,62.3,60.0,720,4.4,4.37,2.73,0
18273,2.03,59.4,59.0,7421,8.31,8.22,4.91,2
29227,0.25,59.5,56.0,696,4.14,4.19,2.48,0
12105,1.01,59.1,58.0,5166,6.58,6.59,3.89,1
11236,1.09,61.8,57.0,4965,6.57,6.6,4.07,1
13784,1.03,59.9,59.0,5620,6.5,6.52,3.9,1
48979,0.34,62.6,60.0,537,4.42,4.46,2.78,0
52754,0.73,61.7,57.0,2561,5.83,5.78,3.58,0
37149,0.32,61.6,57.0,972,4.39,4.35,2.69,0
3440,0.9,62.8,62.0,3387,6.09,6.05,3.81,0
53912,0.61,61.8,59.0,2753,5.48,5.4,3.36,0
11376,0.34,60.3,57.0,596,4.53,4.56,2.74,0
37806,0.34,61.8,57.0,1001,4.47,4.5,2.77,0
45382,0.5,59.9,61.0,1666,5.16,5.13,3.08,0
24512,2.14,60.1,58.0,12792,8.4,8.35,5.03,3
21913,1.02,60.8,58.0,9980,6.56,6.46,3.96,2
40318,0.5,59.9,60.0,1125,5.22,5.16,3.11,0
16505,2.1,64.6,58.0,6597,8.05,8.01,5.19,1
38776,0.31,61.5,58.0,1046,4.35,4.33,2.67,0
29929,0.5,63.8,58.0,713,5.08,4.97,3.21,0
8436,1.03,62.1,56.0,4407,6.44,6.48,4.01,1
44737,0.5,61.8,56.0,1617,5.11,5.07,3.14,0
7731,0.3,62.6,56.0,581,4.29,4.31,2.69,0
2332,0.76,61.8,57.0,3170,5.84,5.87,3.62,0
38129,0.3,62.1,56.0,1013,4.31,4.29,2.67,0
19098,1.19,61.9,59.0,7864,6.83,6.75,4.2,2
45013,0.54,62.0,58.0,1637,5.21,5.18,3.22,0
2841,0.72,59.8,57.0,3270,5.84,5.89,3.51,0
47530,0.57,60.8,57.0,1869,5.34,5.37,3.25,0
14781,1.21,62.4,56.0,5948,6.85,6.8,4.26,1
46991,0.64,61.2,58.0,1816,5.6,5.54,3.41,0
35620,0.36,61.9,56.0,473,4.55,4.59,2.83,0
5592,0.9,62.4,56.0,3867,6.14,6.19,3.85,1
26633,2.11,62.7,56.0,16404,8.25,8.18,5.14,4
51306,0.31,59.8,60.0,544,4.4,4.43,2.64,0
52102,0.7,62.3,57.0,2459,5.67,5.7,3.54,0
38893,0.51,60.8,56.0,1051,5.14,5.26,3.16,0
24130,1.59,63.0,58.0,12297,7.43,7.48,4.7,3
19329,1.57,62.0,55.6,8035,7.43,7.47,4.62,2
36711,0.33,61.8,56.0,953,4.46,4.44,2.75,0
41028,0.41,61.0,56.0,1187,4.79,4.82,2.93,0
12413,1.12,62.3,55.0,5236,6.64,6.69,4.15,1
31194,0.32,60.1,61.0,756,4.45,4.4,2.66,0
13937,1.35,60.0,57.0,5670,7.19,7.15,4.3,1
6925,0.91,62.6,58.0,4138,6.17,6.14,3.85,1
2018,0.7,62.6,59.0,3105,5.66,5.62,3.53,0
11136,1.4,62.9,59.0,4939,7.16,7.07,4.48,1
19543,1.0,59.1,59.0,8176,6.56,6.51,3.86,2
3158,0.78,62.0,55.0,3334,5.89,5.95,3.67,0
26542,1.53,61.9,57.0,16219,7.39,7.32,4.55,4
35178,0.31,61.8,54.0,891,4.36,4.38,2.7,0
13242,1.0,64.9,53.0,5469,6.27,6.3,4.08,1
47121,0.52,63.4,56.0,1828,5.16,5.09,3.25,0
24257,1.5,62.6,56.0,12468,7.3,7.26,4.56,3
46484,0.62,63.0,59.0,1777,5.43,5.39,3.41,0
15509,1.01,60.2,58.0,6213,6.51,6.54,3.93,1
36101,0.4,61.4,57.0,926,4.72,4.79,2.92,0
15694,0.29,62.1,55.0,607,4.28,4.3,2.66,0
41210,0.51,60.3,56.0,1205,5.22,5.19,3.14,0
44768,0.41,61.1,58.0,1621,4.82,4.84,2.95,0
40404,0.54,61.8,54.0,1133,5.24,5.28,3.25,0
18529,1.08,61.0,56.0,7553,6.62,6.65,4.05,2
20986,1.2,61.6,61.0,9203,6.81,6.86,4.21,2
52095,0.7,62.6,56.0,2459,5.65,5.69,3.55,0
27139,1.21,61.8,56.0,17353,6.81,6.88,4.23,4
6843,0.9,62.7,62.0,4124,6.11,6.17,3.85,1
3162,0.7,62.0,57.0,3335,5.69,5.76,3.55,0
24942,2.02,64.6,59.0,13399,7.95,7.9,5.12,3
15353,1.17,62.4,57.0,6163,6.74,6.69,4.19,1
48123,0.54,63.2,56.0,1939,5.21,5.23,3.3,0
46490,0.51,61.6,59.0,1778,5.1,5.12,3.15,0
35856,0.4,60.8,59.0,917,4.71,4.76,2.88,0
29568,0.41,60.5,63.0,705,4.77,4.81,2.9,0
31270,0.32,60.3,56.0,449,4.44,4.45,2.68,0
15174,1.01,61.1,59.0,6097,6.44,6.35,3.91,1
16976,1.08,62.0,55.0,6779,6.62,6.57,4.09,1
46618,0.51,62.3,55.0,1787,5.12,5.19,3.21,0
657,0.7,58.9,60.0,2845,5.83,5.85,3.44,0
29097,0.36,61.5,60.0,689,4.6,4.54,2.81,0
46664,0.56,62.3,55.0,1787,5.26,5.3,3.29,0
17590,1.29,62.9,57.0,7080,6.91,6.89,4.34,1
4248,0.9,58.7,58.0,3578,6.3,6.28,3.69,1
50875,0.55,60.2,60.0,2314,5.29,5.38,3.21,0
34286,0.26,62.4,58.0,468,4.04,4.07,2.53,0
10268,1.01,59.2,56.0,4751,6.63,6.59,3.91,1
34346,0.36,60.1,56.0,862,4.65,4.69,2.8,0
11811,1.21,60.6,56.0,5091,6.92,6.94,4.2,1
45497,0.52,60.0,61.5,1680,5.19,5.23,3.13,0
15181,1.21,61.7,56.0,6098,6.87,6.82,4.22,1
41605,0.32,60.0,61.0,393,4.45,4.49,2.68,0
14965,1.01,59.1,58.0,6027,6.63,6.56,3.9,1
18500,1.5,62.3,60.0,7535,7.27,7.17,4.5,2
6246,0.9,61.9,59.0,4008,6.16,6.19,3.82,1
47141,0.51,58.0,60.0,1831,5.26,5.29,3.06,0
52427,0.75,59.3,59.0,2513,5.87,6.0,3.52,0
30339,0.34,63.0,54.0,727,4.5,4.48,2.83,0
42750,0.51,62.5,58.0,1343,5.09,5.12,3.19,0
52446,0.71,61.6,61.0,2515,5.7,5.72,3.52,0
16528,1.26,62.3,57.0,6604,6.93,6.87,4.3,1
10726,0.31,63.9,57.0,593,4.33,4.28,2.75,0
44437,0.51,62.5,60.0,1590,5.08,5.1,3.18,0
8474,1.01,61.3,60.0,4416,6.4,6.43,3.93,1
20017,0.3,63.4,57.0,421,4.27,4.31,2.72,0
36062,0.31,61.6,55.0,924,4.34,4.39,2.69,0
31167,0.41,60.5,61.0,755,4.78,4.8,2.9,0
21575,1.07,59.9,55.0,9681,6.69,6.71,4.01,2
34268,0.32,62.3,55.0,466,4.39,4.41,2.74,0
39996,0.41,61.8,56.0,1107,4.79,4.76,2.95,0
12459,1.12,62.9,55.9,5249,6.59,6.62,4.16,1
7295,1.05,62.3,56.0,4201,6.55,6.51,4.07,1
45611,0.51,61.9,56.0,1691,5.12,5.16,3.18,0
24818,2.08,63.4,59.0,13206,8.06,8.0,5.09,3
14476,1.09,60.2,61.0,5845,6.66,6.7,4.02,1
19714,1.51,61.9,57.0,8287,7.37,7.32,4.55,2
45475,0.72,61.3,59.0,1676,5.81,5.76,3.55,0
43905,0.33,60.9,56.0,511,4.5,4.53,2.75,0
49672,0.7,64.3,57.0,2142,5.63,5.59,3.61,0
10571,0.94,58.4,58.0,4817,6.51,6.41,3.77,1
42034,0.53,63.8,58.0,1268,5.12,5.17,3.28,0
27059,0.32,58.8,59.0,646,4.49,4.52,2.65,0
52604,0.84,61.9,58.0,2544,6.03,6.05,3.74,0
26102,1.53,62.5,60.0,15365,7.31,7.34,4.58,4
36894,0.31,61.8,59.0,959,4.35,4.33,2.68,0
12975,1.07,61.4,57.0,5393,6.62,6.57,4.05,1
48190,0.53,60.4,59.0,1946,5.26,5.3,3.19,0
40574,0.48,60.4,62.0,1152,5.07,5.03,3.05,0
26020,0.31,61.3,55.0,645,4.39,4.42,2.7,0
40468,0.32,61.7,55.0,1140,4.44,4.41,2.73,0
33908,0.3,62.1,56.0,844,4.31,4.25,2.66,0
322,0.71,62.8,57.0,2801,5.69,5.64,3.56,0
13276,1.09,61.9,55.0,5486,6.66,6.62,4.11,1
37231,0.4,60.7,60.0,975,4.75,4.7,2.87,0
11544,1.22,62.2,59.0,5029,6.77,6.8,4.22,1
5271,0.79,63.1,60.0,3796,5.88,5.84,3.7,1
19798,1.25,62.1,57.0,8365,6.89,6.92,4.29,2
24566,1.5,61.7,63.0,12862,7.31,7.24,4.49,3
10916,1.02,61.0,57.0,4890,6.51,6.58,3.99,1
48506,0.7,61.7,58.0,1982,5.72,5.69,3.52,0
53107,0.8,63.0,55.0,2616,5.92,5.95,3.74,0
13843,1.06,58.5,60.0,5642,6.81,6.7,3.95,1
23188,1.06,61.0,57.0,11195,6.64,6.55,4.02,3
3439,0.9,62.3,63.0,3387,6.13,6.06,3.8,0
18369,0.39,61.0,62.0,616,4.66,4.71,2.86,0
37316,0.39,61.8,57.0,979,4.68,4.7,2.9,0
2303,0.74,63.5,56.0,3163,5.75,5.8,3.67,0
25958,2.01,62.5,57.0,15140,8.08,8.01,5.03,4
32246,0.31,62.0,54.0,789,4.38,4.4,2.72,0
35174,0.31,62.6,53.0,891,4.36,4.39,2.74,0
35606,0.31,63.3,56.0,907,4.32,4.3,2.73,0
23215,1.71,64.0,59.0,11225,7.53,7.44,4.79,3
41888,0.41,61.6,55.0,1259,4.78,4.83,2.96,0
29935,0.34,62.2,54.0,714,4.5,4.47,2.79,0
47499,0.47,62.4,57.0,1865,4.97,5.0,3.11,0
47214,0.5,63.5,58.0,1838,5.03,4.98,3.18,0
32934,0.37,62.7,56.0,811,4.55,4.6,2.87,0
24416,2.08,62.8,60.0,12655,8.12,8.03,5.07,3
42487,0.55,62.1,56.0,1319,5.2,5.26,3.25,0
8738,0.96,58.2,58.0,4462,6.52,6.47,3.78,1
16910,1.07,61.3,56.0,6751,6.54,6.59,4.03,1
917,0.84,62.3,55.0,2879,6.08,6.03,3.77,0
28544,0.3,61.4,59.0,675,4.33,4.3,2.65,0
24446,1.52,59.8,58.0,12707,7.51,7.55,4.5,3
32243,0.31,61.4,56.0,789,4.39,4.41,2.7,0
5512,0.91,62.3,57.0,3848,6.14,6.22,3.85,1
47360,0.72,61.4,58.0,1846,5.74,5.76,3.53,0
5739,1.03,57.4,61.0,3892,6.67,6.71,3.84,1
23270,1.55,58.9,57.0,11284,7.59,7.63,4.48,3
21429,1.18,59.7,58.0,9537,6.94,6.9,4.13,2
4559,0.9,62.2,58.0,3644,6.13,6.18,3.83,1
29295,0.31,62.0,53.0,436,4.37,4.4,2.72,0
16456,1.31,64.3,59.0,6573,6.87,6.84,4.41,1
30992,0.37,59.5,58.0,746,4.67,4.71,2.79,0
12499,1.02,61.2,56.0,5257,6.49,6.51,3.98,1
4310,0.93,60.8,59.0,3594,6.35,6.28,3.84,1
27286,2.01,62.8,59.0,17759,7.99,8.04,5.03,4
40054,0.38,61.8,58.0,1112,4.64,4.61,2.86,0
18243,1.01,60.4,59.0,7409,6.54,6.5,3.94,2
9817,1.03,59.3,58.0,4671,6.57,6.61,3.91,1
32399,0.38,61.6,56.0,791,4.68,4.71,2.89,0
50172,0.5,59.7,60.0,2219,5.18,5.24,3.11,0
46754,0.57,60.9,56.0,1800,5.34,5.36,3.26,0
7696,1.01,64.2,58.0,4276,6.33,6.31,4.06,1
3500,0.92,62.2,55.0,3400,6.25,6.19,3.87,0
9686,1.06,60.5,60.0,4652,6.61,6.67,4.02,1
26212,2.26,61.5,57.0,15606,8.36,8.44,5.17,4
51991,0.59,64.4,56.0,2443,5.31,5.28,3.41,0
32378,0.39,63.5,58.0,790,4.64,4.59,2.93,0
23467,2.02,62.7,60.0,11463,7.98,8.1,5.04,3
18623,1.28,62.2,56.0,7598,6.96,6.9,4.31,2
6374,0.3,60.0,60.0,576,4.4,4.3,2.61,0
32384,0.32,61.7,55.0,790,4.39,4.42,2.72,0
48617,0.7,61.5,66.0,1999,5.55,5.6,3.43,0
53007,0.7,61.0,57.0,2596,5.76,5.72,3.5,0
3055,0.34,59.3,60.0,566,4.52,4.58,2.7,0
1521,0.72,61.4,56.0,2998,5.79,5.81,3.56,0
5326,0.71,63.0,57.0,3808,5.66,5.7,3.58,1
30233,0.33,61.9,54.0,723,4.42,4.47,2.75,0
20149,1.5,61.8,60.0,8603,7.33,7.36,4.54,2
43928,0.3,62.1,56.0,515,4.29,4.31,2.67,0
13044,0.36,61.6,60.0,600,4.54,4.61,2.82,0
355,0.73,61.8,58.0,2805,5.77,5.81,3.58,0
3522,1.0,62.4,59.0,3405,6.38,6.34,3.97,0
14167,1.19,59.9,61.0,5747,6.91,6.85,4.12,1
24393,1.3,62.1,55.0,12629,6.96,7.04,4.35,3
34024,0.31,57.5,62.0,849,4.47,4.54,2.59,0
34961,0.32,62.1,57.0,471,4.37,4.42,2.73,0
48324,0.23,61.7,55.0,536,3.94,3.98,2.44,0
32920,0.44,62.2,60.0,810,4.79,4.86,3.0,0
10982,1.15,63.0,57.0,4911,6.71,6.66,4.21,1
53392,0.77,63.8,58.0,2665,5.81,5.78,3.7,0
35995,0.35,60.5,56.0,921,4.56,4.59,2.77,0
51975,0.26,59.0,61.0,547,4.17,4.2,2.47,0
15079,1.32,64.8,58.0,6061,6.9,6.83,4.45,1
20436,1.22,62.0,59.0,8793,6.8,6.85,4.23,2
19816,1.23,61.8,58.0,8381,6.88,6.84,4.24,2
32203,0.35,62.7,57.0,788,4.52,4.47,2.82,0
44920,0.56,62.0,57.0,1631,5.25,5.27,3.26,0
7635,0.93,62.7,54.0,4265,6.25,6.2,3.9,1
1822,0.82,64.9,58.0,3057,5.82,5.77,3.76,0
33348,0.41,61.4,59.0,827,4.75,4.79,2.93,0
4440,1.0,59.5,61.0,3616,6.46,6.52,3.86,1
48477,0.71,59.7,57.0,1979,5.84,5.88,3.5,0
11188,1.18,60.5,59.0,4956,6.9,6.82,4.15,1
41710,0.46,62.2,58.0,1243,4.95,4.99,3.09,0
10652,1.27,62.0,60.0,4836,6.91,6.86,4.27,1
16106,1.01,61.9,56.0,6439,6.41,6.45,3.98,1
6922,0.91,61.9,61.0,4138,6.12,6.1,3.78,1
48460,0.5,64.0,55.0,1976,5.05,5.08,3.24,0
45166,0.5,62.6,56.0,1654,5.05,5.04,3.16,0
24616,2.3,63.8,55.0,12944,8.4,8.35,5.34,3
40259,0.4,60.6,60.0,1125,4.79,4.75,2.89,0
37265,0.28,62.3,55.0,481,4.21,4.24,2.63,0
24479,1.1,61.1,56.0,12748,6.69,6.73,4.1,3
10948,1.07,62.8,56.0,4899,6.5,6.56,4.1,1
11844,1.13,62.3,58.0,5101,6.67,6.68,4.16,1
5181,0.83,62.0,55.0,3774,6.02,6.05,3.74,1
1268,0.9,60.6,60.0,2948,6.28,6.23,3.79,0
17555,1.55,63.2,57.0,7066,7.35,7.31,4.64,1
566,0.71,62.2,58.0,2832,5.72,5.66,3.54,0
11686,1.37,60.7,60.0,5063,7.07,7.19,4.33,1
49362,1.0,63.9,59.0,2098,6.27,6.2,3.99,0
42578,0.43,61.2,55.0,1329,4.87,4.9,2.99,0
21570,1.51,64.1,62.0,9674,7.21,7.15,4.6,2
39401,0.41,62.2,56.0,1076,4.8,4.75,2.97,0
52429,0.7,61.2,59.0,2513,5.65,5.69,3.47,0
20962,1.58,62.6,56.0,9176,7.45,7.51,4.68,2
34568,0.31,61.6,55.0,871,4.37,4.39,2.7,0
6566,1.0,60.5,61.0,4077,6.38,6.31,3.84,1
52464,0.7,61.1,57.0,2516,5.75,5.71,3.5,0
4951,1.01,60.8,59.0,3733,6.51,6.46,3.94,1
25157,2.07,61.7,60.0,13731,8.23,8.15,5.05,3
2752,0.9,63.6,60.0,3250,6.06,6.11,3.87,0
17561,1.05,62.2,54.0,7070,6.53,6.55,4.07,1
47724,0.54,61.8,58.0,1889,5.23,5.28,3.25,0
21803,1.33,62.7,58.0,9876,7.01,6.96,4.38,2
36054,0.31,63.9,58.0,924,4.27,4.3,2.74,0
30767,0.36,61.3,59.0,741,4.55,4.6,2.79,0
38064,0.36,60.1,57.0,1013,4.67,4.62,2.79,0
30854,0.33,60.0,58.0,743,4.49,4.47,2.69,0
27709,0.32,62.2,57.0,648,4.38,4.36,2.72,0
9102,1.01,62.0,59.0,4528,6.36,6.4,3.96,1
22894,1.58,59.6,59.0,10934,7.67,7.61,4.55,2
436,0.7,61.4,56.0,2815,5.7,5.76,3.52,0
47318,0.23,60.0,56.0,530,4.03,4.07,2.43,0
53097,0.71,62.1,55.7,2614,5.7,5.75,3.56,0
15160,1.14,62.6,56.0,6095,6.68,6.65,4.17,1
46445,0.52,63.5,54.0,1773,5.19,5.11,3.27,0
12370,0.26,60.7,56.0,597,4.13,4.17,2.52,0
30656,0.29,59.8,55.0,737,4.3,4.35,2.58,0
5091,0.9,64.1,56.0,3755,6.04,6.07,3.88,1
47974,0.3,62.2,54.0,532,4.29,4.35,2.68,0
40742,0.36,61.7,55.0,1163,4.58,4.6,2.83,0
13531,1.35,60.9,59.0,5546,7.07,7.12,4.32,1
42427,0.51,61.2,53.0,1312,5.22,5.18,3.18,0
43409,0.53,61.4,56.0,1412,5.24,5.22,3.21,0
44586,0.53,60.9,59.0,1607,5.17,5.21,3.16,0
50316,1.06,64.5,57.0,2239,6.47,6.33,4.13,0
38544,0.34,62.5,57.0,1033,4.47,4.4,2.77,0
4888,0.9,62.3,56.0,3718,6.14,6.21,3.85,1
35238,0.43,63.4,56.0,894,4.82,4.8,3.05,0
53354,0.8,63.0,56.0,2657,5.85,5.9,3.7,0
23911,1.7,58.0,60.0,12030,7.88,7.84,4.56,3
4820,0.9,60.5,57.0,3704,6.23,6.2,3.76,1
44932,0.58,61.2,55.8,1633,5.39,5.41,3.3,0
25230,2.31,59.2,61.0,13831,8.65,8.57,5.1,3
42712,0.56,62.5,56.0,1340,5.21,5.28,3.28,0
27973,0.3,61.5,56.0,658,4.29,4.33,2.65,0
19718,1.5,63.1,59.0,8291,7.16,7.23,4.54,2
7435,0.9,64.4,53.0,4229,6.08,6.04,3.9,1
51205,0.73,62.1,54.0,2351,5.81,5.76,3.59,0
45467,0.5,62.6,58.0,1676,5.12,5.07,3.19,0
38478,0.42,61.3,56.0,1031,4.81,4.82,2.95,0
45616,0.55,60.7,58.0,1692,5.24,5.3,3.2,0
7109,1.11,62.6,55.0,4168,6.65,6.71,4.18,1
26662,2.1,63.0,57.0,16479,8.08,8.13,5.11,4
23585,1.28,62.0,57.0,11602,6.92,7.01,4.32,3
52438,0.63,61.5,56.0,2513,5.48,5.54,3.39,0
21454,1.04,62.0,58.0,9552,6.54,6.46,4.03,2
15746,1.21,62.1,60.0,6299,6.81,6.87,4.25,1
13936,0.9,63.1,58.0,5670,6.18,6.09,3.87,1
17712,0.41,62.2,54.0,613,4.76,4.79,2.97,0
34910,0.34,63.1,57.0,880,4.45,4.4,2.79,0
32277,0.36,60.1,57.0,789,4.62,4.67,2.79,0
48361,0.56,61.1,56.0,1963,5.3,5.33,3.25,0
14700,0.3,62.3,57.0,605,4.3,4.33,2.69,0
40174,0.55,62.1,56.0,1117,5.25,5.22,3.25,0
33393,0.31,62.1,54.0,828,4.35,4.38,2.71,0
52932,0.7,60.1,56.0,2591,5.73,5.78,3.46,0
31085,0.33,60.6,58.0,752,4.47,4.5,2.72,0
419,0.26,61.5,57.0,556,4.09,4.12,2.52,0
9709,0.31,62.0,56.0,589,4.36,4.38,2.71,0
48715,0.77,61.8,59.0,2010,5.86,5.82,3.61,0
14099,1.0,59.2,59.0,5718,6.49,6.55,3.86,1
11509,1.06,62.1,56.0,5020,6.51,6.57,4.06,1
47559,0.52,59.1,58.0,1875,5.31,5.38,3.16,0
1289,0.72,61.4,55.0,2952,5.76,5.8,3.55,0
1813,0.65,59.9,58.0,3056,5.63,5.69,3.39,0
47720,0.5,59.6,63.0,1887,5.11,5.16,3.06,0
48117,0.54,60.9,56.0,1937,5.27,5.29,3.21,0
29848,0.3,61.7,58.0,710,4.3,4.32,2.66,0
43885,0.54,61.5,55.0,1453,5.25,5.28,3.24,0
32664,0.31,59.5,59.0,802,4.47,4.4,2.64,0
16541,1.25,60.4,57.0,6608,7.03,7.0,4.24,1
51764,0.7,60.3,59.0,2409,5.73,5.82,3.48,0
11246,1.05,64.2,61.0,4967,6.41,6.33,4.09,1
